# Strain Gauge Data Acquisition
# Date: 2026-02-24 12:02:54
# Sample Interval: 100 ms
# Mode: Internal DMM (sources current, measures voltage)

Time (s),Current (A),Voltage (V),Resistance (Ohm),Load (lbs),Extension (in)
2.327418,0.000000e+00,0.000000e+00,1.043873e+00,0.000000,0.000000
2.427868,0.000000e+00,0.000000e+00,1.043879e+00,0.000000,0.000000
2.528389,0.000000e+00,0.000000e+00,1.043878e+00,0.000000,0.000000
2.628727,0.000000e+00,0.000000e+00,1.043869e+00,0.000000,0.000000
2.729073,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
2.830065,0.000000e+00,0.000000e+00,1.043874e+00,0.000000,0.000000
2.930389,0.000000e+00,0.000000e+00,1.043879e+00,0.000000,0.000000
3.031009,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
3.131327,0.000000e+00,0.000000e+00,1.043865e+00,0.000000,0.000000
3.231628,0.000000e+00,0.000000e+00,1.043875e+00,0.000000,0.000000
3.332390,0.000000e+00,0.000000e+00,1.043885e+00,0.000000,0.000000
3.432507,0.000000e+00,0.000000e+00,1.043867e+00,0.000000,0.000000
3.532618,0.000000e+00,0.000000e+00,1.043873e+00,0.000000,0.000000
3.632952,0.000000e+00,0.000000e+00,1.043868e+00,0.000000,0.000000
3.733130,0.000000e+00,0.000000e+00,1.043879e+00,0.000000,0.000000
3.833617,0.000000e+00,0.000000e+00,1.043877e+00,0.000000,0.000000
3.933886,0.000000e+00,0.000000e+00,1.043877e+00,0.000000,0.000000
4.034881,0.000000e+00,0.000000e+00,1.043877e+00,0.000000,0.000000
4.135072,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
4.235422,0.000000e+00,0.000000e+00,1.043889e+00,0.000000,0.000000
4.335629,0.000000e+00,0.000000e+00,1.043883e+00,0.000000,0.000000
4.435823,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
4.536096,0.000000e+00,0.000000e+00,1.043873e+00,0.000000,0.000000
4.636304,0.000000e+00,0.000000e+00,1.043868e+00,0.000000,0.000000
4.736690,0.000000e+00,0.000000e+00,1.043893e+00,0.000000,0.000000
4.837577,0.000000e+00,0.000000e+00,1.043885e+00,0.000000,0.000000
4.937891,0.000000e+00,0.000000e+00,1.043882e+00,0.000000,0.000000
5.038890,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
5.878085,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
6.260768,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
6.643989,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
7.027041,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
7.409908,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
7.792415,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
8.175387,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
8.558083,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
8.941511,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
9.324519,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
9.707393,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
10.090137,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
10.472667,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
10.855598,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
11.238749,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
11.623774,0.000000e+00,0.000000e+00,2.215844e+00,0.000000,0.000000
12.138663,0.000000e+00,0.000000e+00,2.215847e+00,0.000000,0.000000
12.238877,0.000000e+00,0.000000e+00,2.215851e+00,0.000000,0.000000
12.338938,0.000000e+00,0.000000e+00,2.215852e+00,0.000000,0.000000
12.440373,0.000000e+00,0.000000e+00,2.215843e+00,0.000000,0.000000
12.541244,0.000000e+00,0.000000e+00,2.215856e+00,0.000000,0.000000
12.641588,0.000000e+00,0.000000e+00,2.215840e+00,0.000000,0.000000
12.742881,0.000000e+00,0.000000e+00,2.215848e+00,0.000000,0.000000
12.843121,0.000000e+00,0.000000e+00,2.215836e+00,0.000000,0.000000
12.944447,0.000000e+00,0.000000e+00,2.215850e+00,0.000000,0.000000
13.044740,0.000000e+00,0.000000e+00,2.215845e+00,0.000000,0.000000
13.144953,0.000000e+00,0.000000e+00,2.215848e+00,0.000000,0.000000
13.246677,0.000000e+00,0.000000e+00,2.215844e+00,0.000000,0.000000
13.347073,0.000000e+00,0.000000e+00,2.215848e+00,0.000000,0.000000
13.448262,0.000000e+00,0.000000e+00,2.215845e+00,0.000000,0.000000
13.548496,0.000000e+00,0.000000e+00,2.215852e+00,0.000000,0.000000
13.648595,0.000000e+00,0.000000e+00,2.215841e+00,0.000000,0.000000
13.750727,0.000000e+00,0.000000e+00,2.215855e+00,0.000000,0.000000
13.850908,0.000000e+00,0.000000e+00,2.215839e+00,0.000000,0.000000
13.951038,0.000000e+00,0.000000e+00,2.215853e+00,0.000000,0.000000
14.052181,0.000000e+00,0.000000e+00,2.215844e+00,0.000000,0.000000
14.155002,0.000000e+00,0.000000e+00,2.215850e+00,0.000000,0.000000
14.255109,0.000000e+00,0.000000e+00,2.215846e+00,0.000000,0.000000
14.355189,0.000000e+00,0.000000e+00,2.215837e+00,0.000000,0.000000
14.456440,0.000000e+00,0.000000e+00,2.215856e+00,0.000000,0.000000
14.557015,0.000000e+00,0.000000e+00,2.215835e+00,0.000000,0.000000
14.658004,0.000000e+00,0.000000e+00,2.215850e+00,0.000000,0.000000
14.758216,0.000000e+00,0.000000e+00,2.215847e+00,0.000000,0.000000
14.859872,0.000000e+00,0.000000e+00,2.215843e+00,0.000000,0.000000
14.960074,0.000000e+00,0.000000e+00,2.215848e+00,0.000000,0.000000
15.060458,0.000000e+00,0.000000e+00,2.215848e+00,0.000000,0.000000
15.160797,0.000000e+00,0.000000e+00,2.215846e+00,0.000000,0.000000
15.261144,0.000000e+00,0.000000e+00,2.215842e+00,0.000000,0.000000
15.364434,0.000000e+00,0.000000e+00,2.215841e+00,0.000000,0.000000
15.464686,0.000000e+00,0.000000e+00,2.215852e+00,0.000000,0.000000
15.564922,0.000000e+00,0.000000e+00,2.215847e+00,0.000000,0.000000
15.667802,0.000000e+00,0.000000e+00,2.215851e+00,0.000000,0.000000
15.768308,0.000000e+00,0.000000e+00,2.215838e+00,0.000000,0.000000
15.868510,0.000000e+00,0.000000e+00,2.215844e+00,0.000000,0.000000
15.968858,0.000000e+00,0.000000e+00,2.215842e+00,0.000000,0.000000
16.069033,0.000000e+00,0.000000e+00,2.215845e+00,0.000000,0.000000
16.169949,0.000000e+00,0.000000e+00,2.215849e+00,0.000000,0.000000
16.270171,0.000000e+00,0.000000e+00,2.215831e+00,0.000000,0.000000
16.370272,0.000000e+00,0.000000e+00,2.215834e+00,0.000000,0.000000
16.470343,0.000000e+00,0.000000e+00,2.215844e+00,0.000000,0.000000
16.570428,0.000000e+00,0.000000e+00,2.215847e+00,0.000000,0.000000
16.670662,0.000000e+00,0.000000e+00,2.215836e+00,0.000000,0.000000
16.797336,0.000000e+00,0.000000e+00,2.215840e+00,0.000000,0.000000
16.898059,0.000000e+00,0.000000e+00,2.215837e+00,0.000000,0.000000
16.998190,0.000000e+00,0.000000e+00,2.215855e+00,0.000000,0.000000
17.098918,0.000000e+00,0.000000e+00,2.215837e+00,0.000000,0.000000
17.199653,0.000000e+00,0.000000e+00,2.215837e+00,0.000000,0.000000
17.300420,0.000000e+00,0.000000e+00,2.215850e+00,0.000000,0.000000
17.401244,0.000000e+00,0.000000e+00,2.215845e+00,0.000000,0.000000
17.502837,0.000000e+00,0.000000e+00,2.215849e+00,0.000000,0.000000
17.603684,0.000000e+00,0.000000e+00,2.215843e+00,0.000000,0.000000
17.703815,0.000000e+00,0.000000e+00,2.215840e+00,0.000000,0.000000
17.804019,0.000000e+00,0.000000e+00,2.215856e+00,0.000000,0.000000
17.904648,0.000000e+00,0.000000e+00,2.215835e+00,0.000000,0.000000
18.004708,0.000000e+00,0.000000e+00,2.215846e+00,0.000000,0.000000
18.104743,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
18.945854,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
19.328503,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
19.711469,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
20.094356,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
20.476689,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
20.859851,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
21.242512,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
21.624717,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
22.007984,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
22.391058,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
22.774064,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
23.156964,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
23.540031,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
23.923214,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
24.306203,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
24.689343,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
25.072403,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
25.455506,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
25.838294,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
26.221518,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
26.604668,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
26.987549,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
27.370741,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
27.753734,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
28.136385,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
28.518846,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
28.901841,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
29.285043,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
29.667972,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
30.050990,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
30.433665,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
30.815711,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
31.198014,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
31.581293,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
31.963986,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
32.345943,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
32.728289,0.000000e+00,0.000000e+00,9.900000e+37,0.000000,0.000000
33.113499,0.000000e+00,0.000000e+00,1.043834e+00,0.000000,0.000000
33.628480,0.000000e+00,0.000000e+00,1.043845e+00,0.000000,0.000000
33.728678,0.000000e+00,0.000000e+00,1.043844e+00,0.000000,0.000000
33.828865,0.000000e+00,0.000000e+00,1.043851e+00,0.000000,0.000000
33.929103,0.000000e+00,0.000000e+00,1.043844e+00,0.000000,0.000000
34.029368,0.000000e+00,0.000000e+00,1.043850e+00,0.000000,0.000000
34.129618,0.000000e+00,0.000000e+00,1.043850e+00,0.000000,0.000000
34.229808,0.000000e+00,0.000000e+00,1.043849e+00,0.000000,0.000000
34.329884,0.000000e+00,0.000000e+00,1.043844e+00,0.000000,0.000000
34.430063,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
34.530456,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
34.631018,0.000000e+00,0.000000e+00,1.043848e+00,0.000000,0.000000
34.731386,0.000000e+00,0.000000e+00,1.043858e+00,0.000000,0.000000
34.832382,0.000000e+00,0.000000e+00,1.043842e+00,0.000000,0.000000
34.932734,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
35.032990,0.000000e+00,0.000000e+00,1.043847e+00,0.000000,0.000000
35.133268,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
35.233620,0.000000e+00,0.000000e+00,1.043852e+00,0.000000,0.000000
35.334468,0.000000e+00,0.000000e+00,1.043848e+00,0.000000,0.000000
35.437245,0.000000e+00,0.000000e+00,1.043856e+00,0.000000,0.000000
35.537976,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
35.638257,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
35.738500,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
35.838574,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
35.938701,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
36.039118,0.000000e+00,0.000000e+00,1.043858e+00,0.000000,0.000000
36.139842,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
36.240641,0.000000e+00,0.000000e+00,1.043856e+00,0.000000,0.000000
36.340959,0.000000e+00,0.000000e+00,1.043840e+00,0.000000,0.000000
36.441241,0.000000e+00,0.000000e+00,1.043866e+00,0.000000,0.000000
36.541422,0.000000e+00,0.000000e+00,1.043848e+00,0.000000,0.000000
36.641604,0.000000e+00,0.000000e+00,1.043856e+00,0.000000,0.000000
36.741922,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
36.846575,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
36.946889,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
37.048261,0.000000e+00,0.000000e+00,1.043852e+00,0.000000,0.000000
37.149230,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
37.249441,0.000000e+00,0.000000e+00,1.043858e+00,0.000000,0.000000
37.349832,0.000000e+00,0.000000e+00,1.043847e+00,0.000000,0.000000
37.450838,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
37.551568,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
37.651955,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
37.753104,0.000000e+00,0.000000e+00,1.043847e+00,0.000000,0.000000
37.853164,0.000000e+00,0.000000e+00,1.043852e+00,0.000000,0.000000
37.953913,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
38.054315,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
38.154699,0.000000e+00,0.000000e+00,1.043867e+00,0.000000,0.000000
38.258176,0.000000e+00,0.000000e+00,1.043850e+00,0.000000,0.000000
38.358213,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
38.458450,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
38.558603,0.000000e+00,0.000000e+00,1.043863e+00,0.000000,0.000000
38.658923,0.000000e+00,0.000000e+00,1.043863e+00,0.000000,0.000000
38.759177,0.000000e+00,0.000000e+00,1.043850e+00,0.000000,0.000000
38.859908,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
38.960829,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
39.061026,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
39.161100,0.000000e+00,0.000000e+00,1.043858e+00,0.000000,0.000000
39.261156,0.000000e+00,0.000000e+00,1.043849e+00,0.000000,0.000000
39.361833,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
39.462556,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
39.562658,0.000000e+00,0.000000e+00,1.043866e+00,0.000000,0.000000
39.663107,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
39.763830,0.000000e+00,0.000000e+00,1.043851e+00,0.000000,0.000000
39.864575,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
39.964910,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
40.065139,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
40.165708,0.000000e+00,0.000000e+00,1.043849e+00,0.000000,0.000000
40.265819,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
40.366549,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
40.466782,0.000000e+00,0.000000e+00,1.043848e+00,0.000000,0.000000
40.566852,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
40.667887,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
40.768265,0.000000e+00,0.000000e+00,1.043856e+00,0.000000,0.000000
40.869153,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
40.969916,0.000000e+00,0.000000e+00,1.043856e+00,0.000000,0.000000
41.070072,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
41.170405,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
41.271322,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
41.371557,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
41.471849,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
41.572687,0.000000e+00,0.000000e+00,1.043869e+00,0.000000,0.000000
41.672815,0.000000e+00,0.000000e+00,1.043842e+00,0.000000,0.000000
41.772933,0.000000e+00,0.000000e+00,1.043867e+00,0.000000,0.000000
41.873956,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
41.974332,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
42.074551,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
42.174888,0.000000e+00,0.000000e+00,1.043853e+00,0.000000,0.000000
42.275203,0.000000e+00,0.000000e+00,1.043863e+00,0.000000,0.000000
42.375392,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
42.476553,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
42.577354,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
42.678259,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
42.778965,0.000000e+00,0.000000e+00,1.043865e+00,0.000000,0.000000
42.880071,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
42.980309,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
43.080559,0.000000e+00,0.000000e+00,1.043865e+00,0.000000,0.000000
43.181550,0.000000e+00,0.000000e+00,1.043852e+00,0.000000,0.000000
43.281718,0.000000e+00,0.000000e+00,1.043868e+00,0.000000,0.000000
43.382061,0.000000e+00,0.000000e+00,1.043850e+00,0.000000,0.000000
43.482402,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
43.582774,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
43.683086,0.000000e+00,0.000000e+00,1.043837e+00,0.000000,0.000000
43.783276,0.000000e+00,0.000000e+00,1.043877e+00,0.000000,0.000000
43.883593,0.000000e+00,0.000000e+00,1.043851e+00,0.000000,0.000000
43.983948,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
44.084145,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
44.184220,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
44.284539,0.000000e+00,0.000000e+00,1.043870e+00,0.000000,0.000000
44.384896,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
44.485707,0.000000e+00,0.000000e+00,1.043856e+00,0.000000,0.000000
44.586083,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
44.686254,0.000000e+00,0.000000e+00,1.043852e+00,0.000000,0.000000
44.787371,0.000000e+00,0.000000e+00,1.043874e+00,0.000000,0.000000
44.888270,0.000000e+00,0.000000e+00,1.043854e+00,0.000000,0.000000
44.989754,0.000000e+00,0.000000e+00,1.043872e+00,0.000000,0.000000
45.090842,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
45.191630,0.000000e+00,0.000000e+00,1.043865e+00,0.000000,0.000000
45.291963,0.000000e+00,0.000000e+00,1.043869e+00,0.000000,0.000000
45.392075,0.000000e+00,0.000000e+00,1.043855e+00,0.000000,0.000000
45.492219,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
45.592419,0.000000e+00,0.000000e+00,1.043848e+00,0.000000,0.000000
45.694782,0.000000e+00,0.000000e+00,1.043867e+00,0.000000,0.000000
45.794971,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
45.895604,0.000000e+00,0.000000e+00,1.043857e+00,0.000000,0.000000
45.996501,0.000000e+00,0.000000e+00,1.043865e+00,0.000000,0.000000
46.096837,0.000000e+00,0.000000e+00,1.043862e+00,0.000000,0.000000
46.197035,0.000000e+00,0.000000e+00,1.043868e+00,0.000000,0.000000
46.297603,0.000000e+00,0.000000e+00,1.043868e+00,0.000000,0.000000
46.398065,0.000000e+00,0.000000e+00,1.043860e+00,0.000000,0.000000
46.498275,0.000000e+00,0.000000e+00,1.043861e+00,0.000000,0.000000
46.598556,0.000000e+00,0.000000e+00,1.043864e+00,0.000000,0.000000
46.698767,0.000000e+00,0.000000e+00,1.043867e+00,0.000000,0.000000
46.799591,0.000000e+00,0.000000e+00,1.043858e+00,0.000000,0.000000
46.900327,0.000000e+00,0.000000e+00,1.043871e+00,0.000000,0.000000
47.001044,0.000000e+00,0.000000e+00,1.043863e+00,0.000000,0.000000
47.101971,0.000000e+00,0.000000e+00,1.043859e+00,0.000000,0.000000
47.202703,0.000000e+00,0.000000e+00,1.043874e+00,0.000000,0.000000
47.303467,0.000000e+00,0.000000e+00,1.043851e+00,0.000000,0.000000
47.403600,0.000000e+00,0.000000e+00,1.043869e+00,0.000000,0.000000
47.503919,0.000000e+00,0.000000e+00,1.043846e+00,0.000000,0.000000
47.604316,0.000000e+00,0.000000e+00,1.043871e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
47.704488,0.000000e+00,0.000000e+00,1.043861e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
47.804594,0.000000e+00,0.000000e+00,1.043865e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
47.905563,0.000000e+00,0.000000e+00,1.043863e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.005980,0.000000e+00,0.000000e+00,1.043854e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.106120,0.000000e+00,0.000000e+00,1.043875e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.206431,0.000000e+00,0.000000e+00,1.043864e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.306821,0.000000e+00,0.000000e+00,1.043866e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.406935,0.000000e+00,0.000000e+00,1.043863e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.508088,0.000000e+00,0.000000e+00,1.043848e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.608455,0.000000e+00,0.000000e+00,1.043876e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
48.708777,0,0,0,0.000000e+00,0.000000e+00,2.215840e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
